year,n_matches,base_brier,aug_brier,brier_lift,base_auc,aug_auc,auc_lift,n_selected,selected_feats,sel_altitude,sel_alt_x_hdiff,sel_alt_x_rdiff,sel_wind,sel_wind_x_rdiff,sel_wind_x_hdiff,sel_temp,sel_temp_x_adiff,sel_humidity,sel_hum_x_hard,sel_age_diff,sel_height_diff,sel_left_vs_right,sel_round_weight,sel_hi_alt_x_hdiff,sel_hi_wind_x_rdiff
2002,520,0.2252,0.2247,0.0005,0.684741,0.685466,0.000725,2,temp_x_adiff|age_diff,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2003,520,0.234156,0.236399,-0.002242,0.646143,0.642249,-0.003894,5,wind_x_rdiff|temp_x_adiff|age_diff|hi_alt_x_hdiff|hi_wind_x_rdiff,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
2004,552,0.228423,0.230418,-0.001995,0.671343,0.658003,-0.013341,4,wind_x_rdiff|temp_x_adiff|age_diff|hi_wind_x_rdiff,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2005,552,0.221263,0.218998,0.002265,0.69422,0.702183,0.007963,4,wind_x_rdiff|temp_x_adiff|age_diff|hi_wind_x_rdiff,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2006,551,0.214425,0.211944,0.002481,0.716318,0.722666,0.006347,6,wind_x_hdiff|temp_x_adiff|age_diff|height_diff|left_vs_right|hi_wind_x_rdiff,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1
2007,512,0.224988,0.222699,0.002289,0.677046,0.686954,0.009909,6,wind_x_hdiff|temp_x_adiff|age_diff|height_diff|left_vs_right|hi_wind_x_rdiff,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1
2008,511,0.218846,0.216522,0.002324,0.700733,0.711268,0.010535,4,alt_x_rdiff|wind_x_hdiff|temp_x_adiff|age_diff,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
2009,520,0.204242,0.205479,-0.001237,0.75345,0.744342,-0.009109,4,temp_x_adiff|age_diff|hi_alt_x_hdiff|hi_wind_x_rdiff,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
2010,520,0.217262,0.219827,-0.002565,0.707829,0.699712,-0.008118,3,temp_x_adiff|age_diff|hi_alt_x_hdiff,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2011,520,0.216675,0.216559,0.000117,0.700052,0.700766,0.000714,5,wind_x_rdiff|temp_x_adiff|age_diff|hi_alt_x_hdiff|hi_wind_x_rdiff,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
2012,512,0.195924,0.194595,0.00133,0.777687,0.780483,0.002796,6,temp_x_adiff|age_diff|height_diff|left_vs_right|hi_alt_x_hdiff|hi_wind_x_rdiff,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
2013,519,0.213664,0.21505,-0.001387,0.717238,0.713232,-0.004006,8,wind_x_rdiff|wind_x_hdiff|temp_x_adiff|age_diff|height_diff|left_vs_right|hi_alt_x_hdiff|hi_wind_x_rdiff,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1
2014,520,0.205689,0.208633,-0.002944,0.745775,0.737178,-0.008597,8,wind_x_rdiff|wind_x_hdiff|temp_x_adiff|age_diff|height_diff|left_vs_right|hi_alt_x_hdiff|hi_wind_x_rdiff,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1
2015,517,0.192044,0.192147,-0.000103,0.782829,0.781648,-0.00118,3,wind_x_hdiff|height_diff|left_vs_right,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2016,520,0.206183,0.206105,7.8e-05,0.741041,0.741871,0.00083,4,wind_x_rdiff|wind_x_hdiff|height_diff|left_vs_right,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
2017,520,0.217536,0.218859,-0.001323,0.713595,0.711354,-0.002241,3,wind_x_rdiff|left_vs_right|hi_wind_x_rdiff,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2018,520,0.225671,0.224548,0.001122,0.681997,0.686368,0.004371,5,alt_x_rdiff|wind_x_rdiff|age_diff|left_vs_right|hi_wind_x_rdiff,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
2019,520,0.226554,0.226541,1.3e-05,0.67963,0.680721,0.001091,4,alt_x_rdiff|wind_x_rdiff|temp_x_adiff|age_diff,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
2020,109,0.241166,0.243127,-0.001961,0.627136,0.618719,-0.008417,4,alt_x_rdiff|wind_x_rdiff|temp_x_adiff|age_diff,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
2021,457,0.220867,0.220196,0.000671,0.691964,0.694818,0.002854,4,alt_x_rdiff|wind_x_rdiff|temp_x_adiff|age_diff,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
2022,465,0.22534,0.224097,0.001243,0.68737,0.691835,0.004465,5,wind_x_rdiff|wind_x_hdiff|temp_x_adiff|age_diff|height_diff,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
2023,640,0.232331,0.232265,6.6e-05,0.658545,0.663789,0.005244,4,wind_x_hdiff|temp_x_adiff|age_diff|height_diff,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
2024,640,0.222158,0.220738,0.00142,0.689923,0.695044,0.005121,4,wind_x_hdiff|temp_x_adiff|age_diff|height_diff,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
