year,n_total,n_glare,base_brier,aug_brier,brier_lift,base_logloss,aug_logloss,logloss_lift,base_auc,aug_auc,auc_lift,glare_calib_base,glare_calib_aug
2005,1104,488,0.22168,0.22229,-0.00061,0.63354,0.63474,-0.0012,0.69362,0.69018,-0.00344,0.2872,0.311
2006,1102,550,0.21434,0.21362,0.00071,0.61633,0.61447,0.00186,0.71643,0.7184,0.00197,0.256,0.2805
2007,1024,440,0.22554,0.22547,8e-05,0.64107,0.64047,0.00061,0.67583,0.67568,-0.00014,0.2132,0.2162
2008,1022,440,0.21885,0.2186,0.00025,0.62667,0.62614,0.00053,0.69987,0.7007,0.00083,0.2722,0.273
2009,1040,384,0.20358,0.20445,-0.00087,0.59253,0.59566,-0.00313,0.75331,0.75194,-0.00137,0.2406,0.2535
2010,1040,448,0.2173,0.21657,0.00072,0.62341,0.62177,0.00163,0.70705,0.70885,0.00179,0.1978,0.2166
2011,1040,368,0.21678,0.2166,0.00018,0.61892,0.61828,0.00063,0.70003,0.70026,0.00023,0.1721,0.1856
2012,1024,400,0.19578,0.19585,-7e-05,0.57525,0.57528,-4e-05,0.77799,0.77751,-0.00048,0.2679,0.2852
2013,1038,352,0.21379,0.21459,-0.0008,0.61478,0.61719,-0.0024,0.71697,0.71553,-0.00145,0.243,0.2651
2014,1040,432,0.20558,0.20565,-8e-05,0.59738,0.59719,0.00019,0.7444,0.74392,-0.00048,0.197,0.2061
2015,1034,362,0.19188,0.19233,-0.00045,0.56485,0.56608,-0.00123,0.78254,0.78157,-0.00097,0.2702,0.2861
2016,1040,368,0.20618,0.20597,0.00021,0.5997,0.59848,0.00122,0.74159,0.74121,-0.00038,0.1971,0.1983
2017,1040,352,0.21757,0.21861,-0.00105,0.63192,0.63516,-0.00325,0.71387,0.71182,-0.00205,0.192,0.1784
2018,1040,416,0.22565,0.226,-0.00035,0.64195,0.64261,-0.00066,0.6817,0.68103,-0.00067,0.1555,0.144
2019,1040,352,0.22617,0.22701,-0.00084,0.64274,0.64482,-0.00207,0.67963,0.67787,-0.00176,0.173,0.1628
2020,218,94,0.24058,0.24177,-0.00119,0.66991,0.67312,-0.00321,0.62697,0.62562,-0.00135,0.0979,0.09
2021,914,272,0.22066,0.22105,-0.00039,0.62984,0.63083,-0.00099,0.69242,0.69159,-0.00083,0.2808,0.2849
2022,930,336,0.22499,0.22546,-0.00048,0.64292,0.64454,-0.00162,0.6873,0.68638,-0.00093,0.2365,0.2264
2023,1280,448,0.23146,0.23181,-0.00035,0.65517,0.65577,-0.0006,0.65845,0.65744,-0.00101,0.1889,0.1826
2024,1280,512,0.22178,0.22161,0.00017,0.63353,0.63314,0.00039,0.69097,0.69196,0.00099,0.2816,0.2732
